 x	DSM	TSM	
0.0226	0.999875	0.000125453	
0.0227	0.999874	0.000125568	
0.0228	0.999874	0.000125684	
0.0229	0.999874	0.000125799	
0.023	0.999874	0.000125915	
0.0231	0.999874	0.000126031	
0.0232	0.999874	0.000126146	
0.0233	0.999874	0.000126262	
0.0234	0.999874	0.000126378	
0.0235	0.999874	0.000126495	
0.0236	0.999873	0.000126611	
0.0237	0.999873	0.000126727	
0.0238	0.999873	0.000126844	
0.0239	0.999873	0.000126961	
0.024	0.999873	0.000127077	
0.0241	0.999873	0.000127194	
0.0242	0.999873	0.000127311	
0.0243	0.999873	0.000127428	
0.0244	0.999872	0.000127545	
0.0245	0.999872	0.000127663	
0.0246	0.999872	0.00012778	
0.0247	0.999872	0.000127897	
0.0248	0.999872	0.000128015	
0.0249	0.999872	0.000128133	
0.025	0.999872	0.00012825	
0.0251	0.999872	0.000128368	
0.0252	0.999872	0.000128486	
0.0253	0.999871	0.000128605	
0.0254	0.999871	0.000128723	
0.0255	0.999871	0.000128841	
0.0256	0.999871	0.00012896	
0.0257	0.999871	0.000129078	
0.0258	0.999871	0.000129197	
0.0259	0.999871	0.000129316	
0.026	0.999871	0.000129435	
0.0261	0.99987	0.000129554	
0.0262	0.99987	0.000129673	
0.0263	0.99987	0.000129792	
0.0264	0.99987	0.000129911	
0.0265	0.99987	0.000130031	
0.0266	0.99987	0.00013015	
0.0267	0.99987	0.00013027	
0.0268	0.99987	0.00013039	
0.0269	0.999869	0.00013051	
0.027	0.999869	0.00013063	
0.0271	0.999869	0.00013075	
0.0272	0.999869	0.00013087	
0.0273	0.999869	0.00013099	
0.0274	0.999869	0.000131111	
0.0275	0.999869	0.000131231	
0.0276	0.999869	0.000131352	
0.0277	0.999869	0.000131473	
0.0278	0.999868	0.000131593	
0.0279	0.999868	0.000131714	
0.028	0.999868	0.000131836	
0.0281	0.999868	0.000131957	
0.0282	0.999868	0.000132078	
0.0283	0.999868	0.0001322	
0.0284	0.999868	0.000132321	
0.0285	0.999868	0.000132443	
0.0286	0.999867	0.000132564	
0.0287	0.999867	0.000132686	
0.0288	0.999867	0.000132808	
0.0289	0.999867	0.00013293	
0.029	0.999867	0.000133053	
0.0291	0.999867	0.000133175	
0.0292	0.999867	0.000133297	
0.0293	0.999867	0.00013342	
0.0294	0.999866	0.000133543	
0.0295	0.999866	0.000133665	
0.0296	0.999866	0.000133788	
0.0297	0.999866	0.000133911	
0.0298	0.999866	0.000134034	
0.0299	0.999866	0.000134158	
0.03	0.999866	0.000134281	
0.0301	0.999866	0.000134405	
0.0302	0.999865	0.000134528	
0.0303	0.999865	0.000134652	
0.0304	0.999865	0.000134776	
0.0305	0.999865	0.0001349	
0.0306	0.999865	0.000135024	
0.0307	0.999865	0.000135148	
0.0308	0.999865	0.000135272	
0.0309	0.999865	0.000135396	
0.031	0.999864	0.000135521	
0.0311	0.999864	0.000135645	
0.0312	0.999864	0.00013577	
0.0313	0.999864	0.000135895	
0.0314	0.999864	0.00013602	
0.0315	0.999864	0.000136145	
0.0316	0.999864	0.00013627	
0.0317	0.999864	0.000136395	
0.0318	0.999863	0.000136521	
0.0319	0.999863	0.000136646	
0.032	0.999863	0.000136772	
0.0321	0.999863	0.000136898	
0.0322	0.999863	0.000137024	
0.0323	0.999863	0.00013715	
0.0324	0.999863	0.000137276	
0.0325	0.999863	0.000137402	
0.0326	0.999862	0.000137528	
0.0327	0.999862	0.000137655	
0.0328	0.999862	0.000137781	
0.0329	0.999862	0.000137908	
0.033	0.999862	0.000138035	
0.0331	0.999862	0.000138162	
0.0332	0.999862	0.000138289	
0.0333	0.999862	0.000138416	
0.0334	0.999861	0.000138543	
0.0335	0.999861	0.00013867	
0.0336	0.999861	0.000138798	
0.0337	0.999861	0.000138925	
0.0338	0.999861	0.000139053	
0.0339	0.999861	0.000139181	
0.034	0.999861	0.000139309	
0.0341	0.999861	0.000139437	
0.0342	0.99986	0.000139565	
0.0343	0.99986	0.000139694	
0.0344	0.99986	0.000139822	
0.0345	0.99986	0.000139951	
0.0346	0.99986	0.000140079	
0.0347	0.99986	0.000140208	
0.0348	0.99986	0.000140337	
0.0349	0.99986	0.000140466	
0.035	0.999859	0.000140595	
0.0351	0.999859	0.000140724	
0.0352	0.999859	0.000140854	
0.0353	0.999859	0.000140983	
0.0354	0.999859	0.000141113	
0.0355	0.999859	0.000141243	
0.0356	0.999859	0.000141373	
0.0357	0.999858	0.000141503	
0.0358	0.999858	0.000141633	
0.0359	0.999858	0.000141763	
0.036	0.999858	0.000141893	
0.0361	0.999858	0.000142024	
0.0362	0.999858	0.000142154	
0.0363	0.999858	0.000142285	
0.0364	0.999858	0.000142416	
0.0365	0.999857	0.000142547	
0.0366	0.999857	0.000142678	
0.0367	0.999857	0.000142809	
0.0368	0.999857	0.00014294	
0.0369	0.999857	0.000143072	
0.037	0.999857	0.000143203	
0.0371	0.999857	0.000143335	
0.0372	0.999857	0.000143467	
0.0373	0.999856	0.000143599	
