 x	Error4	Error2	Error0	
612	1.17624	1.35985	1.63794	
613	1.17285	1.35532	1.63232	
614	1.16949	1.3508	1.62672	
615	1.16616	1.34632	1.62114	
616	1.16286	1.34185	1.61558	
617	1.15958	1.33741	1.61003	
618	1.15633	1.33299	1.6045	
619	1.15311	1.32859	1.59899	
620	1.14992	1.32422	1.5935	
621	1.14676	1.31987	1.58802	
622	1.14362	1.31554	1.58257	
623	1.14051	1.31124	1.57713	
624	1.13743	1.30696	1.57171	
625	1.13438	1.30271	1.5663	
626	1.13136	1.29847	1.56092	
627	1.12836	1.29427	1.55555	
628	1.1254	1.29008	1.55021	
629	1.12246	1.28592	1.54488	
630	1.11955	1.28179	1.53957	
631	1.11667	1.27768	1.53428	
632	1.11382	1.27359	1.529	
633	1.111	1.26953	1.52375	
634	1.10821	1.2655	1.51852	
635	1.10545	1.26148	1.5133	
636	1.10272	1.2575	1.50811	
637	1.10002	1.25353	1.50293	
638	1.09734	1.2496	1.49778	
639	1.0947	1.24569	1.49264	
640	1.09209	1.2418	1.48753	
641	1.08951	1.23794	1.48243	
642	1.08695	1.2341	1.47735	
643	1.08443	1.23029	1.4723	
644	1.08194	1.22651	1.46726	
645	1.07948	1.22275	1.46224	
646	1.07705	1.21902	1.45725	
647	1.07465	1.21531	1.45227	
648	1.07228	1.21163	1.44732	
649	1.06994	1.20798	1.44239	
650	1.06763	1.20435	1.43747	
651	1.06535	1.20075	1.43258	
652	1.06311	1.19717	1.42771	
653	1.06089	1.19363	1.42286	
654	1.05871	1.1901	1.41803	
655	1.05656	1.18661	1.41322	
656	1.05444	1.18314	1.40844	
657	1.05235	1.1797	1.40367	
658	1.0503	1.17629	1.39893	
659	1.04827	1.1729	1.39421	
660	1.04628	1.16954	1.38951	
661	1.04432	1.16621	1.38483	
662	1.04239	1.16291	1.38018	
663	1.04049	1.15963	1.37555	
664	1.03863	1.15638	1.37093	
665	1.0368	1.15316	1.36635	
666	1.035	1.14997	1.36178	
667	1.03324	1.1468	1.35724	
668	1.0315	1.14367	1.35272	
669	1.0298	1.14056	1.34822	
670	1.02814	1.13748	1.34374	
671	1.0265	1.13443	1.33929	
672	1.0249	1.1314	1.33486	
673	1.02333	1.12841	1.33045	
674	1.0218	1.12544	1.32607	
675	1.0203	1.1225	1.32171	
676	1.01883	1.1196	1.31738	
677	1.0174	1.11672	1.31306	
678	1.016	1.11387	1.30877	
679	1.01463	1.11105	1.30451	
680	1.0133	1.10825	1.30027	
681	1.012	1.10549	1.29605	
682	1.01074	1.10276	1.29186	
683	1.00951	1.10006	1.28769	
684	1.00831	1.09738	1.28354	
685	1.00715	1.09474	1.27942	
686	1.00603	1.09213	1.27532	
687	1.00494	1.08955	1.27125	
688	1.00388	1.08699	1.26721	
689	1.00286	1.08447	1.26318	
690	1.00187	1.08198	1.25919	
691	1.00092	1.07952	1.25521	
692	1.00001	1.07708	1.25127	
693	0.999125	1.07468	1.24734	
694	0.998279	1.07231	1.24345	
695	0.99747	1.06997	1.23957	
696	0.996695	1.06767	1.23573	
697	0.995957	1.06539	1.23191	
698	0.995254	1.06314	1.22811	
699	0.994587	1.06093	1.22434	
700	0.993957	1.05874	1.2206	
