 x	Error4	Error2	Error0	
409	44.4381	50.6041	57.897	
410	44.3041	50.4701	57.763	
411	44.1701	50.3361	57.629	
412	44.0361	50.2021	57.495	
413	43.9021	50.0681	57.361	
414	43.7681	49.9341	57.227	
415	43.6341	49.8001	57.093	
416	43.5001	49.6661	56.959	
417	43.3661	49.5321	56.825	
418	43.2321	49.3981	56.691	
419	43.0981	49.2641	56.557	
420	42.9641	49.1301	56.423	
421	42.8301	48.9961	56.289	
422	42.6961	48.8621	56.155	
423	42.5621	48.7281	56.021	
424	42.4281	48.5941	55.887	
425	42.2941	48.4601	55.753	
426	42.1601	48.3261	55.619	
427	42.0261	48.1921	55.485	
428	41.8921	48.0581	55.351	
429	41.7581	47.9241	55.217	
430	41.6241	47.7901	55.083	
431	41.4901	47.6561	54.949	
432	41.3561	47.5221	54.815	
433	41.2221	47.3881	54.681	
434	41.0881	47.2541	54.547	
435	40.9541	47.1201	54.413	
436	40.8201	46.9861	54.279	
437	40.6861	46.8521	54.145	
438	40.5521	46.7181	54.011	
439	40.4181	46.5841	53.877	
440	40.2841	46.4501	53.743	
441	40.1501	46.3161	53.609	
442	40.0161	46.1821	53.475	
443	39.8821	46.0481	53.341	
444	39.7481	45.9141	53.207	
445	39.6141	45.7801	53.073	
446	39.4801	45.6461	52.939	
447	39.3461	45.5121	52.805	
448	39.2121	45.3781	52.671	
449	39.0781	45.2441	52.537	
450	38.9441	45.1101	52.403	
451	38.8101	44.9761	52.269	
452	38.6761	44.8421	52.135	
453	38.5421	44.7081	52.001	
454	38.4081	44.5741	51.867	
455	38.2741	44.4401	51.733	
456	38.1401	44.3061	51.599	
457	38.0061	44.1721	51.465	
458	37.8721	44.0381	51.331	
459	37.7381	43.9041	51.197	
460	37.6041	43.7701	51.063	
461	37.4701	43.6361	50.929	
462	37.3361	43.5021	50.795	
463	37.2021	43.3681	50.661	
464	37.0681	43.2341	50.527	
465	36.9341	43.1001	50.393	
466	36.8001	42.9661	50.259	
467	36.6661	42.8321	50.125	
468	36.5321	42.6981	49.991	
469	36.3981	42.5641	49.857	
470	36.2641	42.4301	49.723	
471	36.1301	42.2961	49.589	
472	35.9961	42.1621	49.455	
473	35.8621	42.0281	49.321	
474	35.7281	41.8941	49.187	
475	35.5941	41.7601	49.053	
476	35.4601	41.6261	48.919	
477	35.3261	41.4921	48.785	
478	35.1921	41.3581	48.651	
479	35.0581	41.2241	48.517	
480	34.9241	41.0901	48.383	
481	34.7901	40.9561	48.249	
482	34.6561	40.8221	48.115	
483	34.5221	40.6881	47.981	
484	34.3881	40.5541	47.847	
485	34.2541	40.4201	47.713	
486	34.1201	40.2861	47.579	
487	33.9861	40.1521	47.445	
488	33.8521	40.0181	47.311	
489	33.7181	39.8841	47.177	
490	33.5841	39.7501	47.043	
491	33.4501	39.6161	46.909	
492	33.3161	39.4821	46.775	
493	33.1821	39.3481	46.641	
494	33.0481	39.2141	46.507	
495	32.9141	39.0801	46.373	
496	32.7801	38.9461	46.239	
497	32.6461	38.8121	46.105	
498	32.5121	38.6781	45.971	
499	32.3781	38.5441	45.837	
500	32.2441	38.4101	45.703	
501	32.1101	38.2761	45.569	
502	31.9761	38.1421	45.435	
503	31.8421	38.0081	45.301	
504	31.7081	37.8741	45.167	
505	31.5741	37.7401	45.033	
506	31.4401	37.6061	44.899	
507	31.3061	37.4721	44.765	
508	31.1721	37.3381	44.631	
509	31.0381	37.2041	44.497	
510	30.9041	37.0701	44.363	
511	30.7701	36.9361	44.229	
512	30.6361	36.8021	44.095	
513	30.5021	36.6681	43.961	
514	30.3681	36.5341	43.827	
515	30.2341	36.4001	43.693	
516	30.1001	36.2661	43.559	
517	29.9661	36.1321	43.425	
518	29.8321	35.9981	43.291	
519	29.6981	35.8641	43.157	
520	29.5641	35.7301	43.023	
521	29.4301	35.5961	42.889	
522	29.2961	35.4621	42.755	
523	29.1621	35.3281	42.621	
524	29.0281	35.1941	42.487	
525	28.8941	35.0601	42.353	
526	28.7601	34.9261	42.219	
527	28.6261	34.7921	42.085	
528	28.4921	34.6581	41.951	
529	28.3581	34.5241	41.817	
530	28.2241	34.3901	41.683	
531	28.0901	34.2561	41.549	
532	27.9561	34.1221	41.415	
533	27.8221	33.9881	41.281	
534	27.6881	33.8541	41.147	
535	27.5541	33.7201	41.013	
536	27.4201	33.5861	40.879	
537	27.2861	33.4521	40.745	
538	27.1521	33.3181	40.611	
539	27.0181	33.1841	40.477	
540	26.8841	33.0501	40.343	
541	26.7501	32.9161	40.209	
542	26.6161	32.7821	40.075	
543	26.4821	32.6481	39.941	
544	26.3481	32.5141	39.807	
545	26.2141	32.3801	39.673	
546	26.0801	32.2461	39.539	
547	25.9461	32.1121	39.405	
548	25.8121	31.9781	39.271	
549	25.6781	31.8441	39.137	
550	25.5441	31.7101	39.003	
551	25.4101	31.5761	38.869	
552	25.2761	31.4421	38.735	
553	25.1421	31.3081	38.601	
554	25.0081	31.1741	38.467	
555	24.8741	31.0401	38.333	
556	24.7401	30.9061	38.199	
557	24.6061	30.7721	38.065	
558	24.4721	30.6381	37.931	
559	24.3381	30.5041	37.797	
560	24.2041	30.3701	37.663	
561	24.0701	30.2361	37.529	
562	23.9361	30.1021	37.395	
563	23.8021	29.9681	37.261	
564	23.6681	29.8341	37.127	
565	23.5341	29.7001	36.993	
566	23.4001	29.5661	36.859	
567	23.2661	29.4321	36.725	
568	23.1321	29.2981	36.591	
569	22.9981	29.1641	36.457	
570	22.8641	29.0301	36.323	
571	22.7301	28.8961	36.189	
572	22.5961	28.7621	36.055	
573	22.4621	28.6281	35.921	
574	22.3281	28.4941	35.787	
575	22.1941	28.3601	35.653	
576	22.0601	28.2261	35.519	
577	21.9261	28.0921	35.385	
578	21.7921	27.9581	35.251	
579	21.6581	27.8241	35.117	
580	21.5241	27.6901	34.983	
581	21.3901	27.5561	34.849	
582	21.2561	27.4221	34.715	
583	21.1221	27.2881	34.581	
584	20.9881	27.1541	34.447	
585	20.8541	27.0201	34.313	
586	20.7201	26.8861	34.179	
587	20.5861	26.7521	34.045	
588	20.4521	26.6181	33.911	
589	20.3181	26.4841	33.777	
590	20.1841	26.3501	33.643	
591	20.0501	26.2161	33.509	
592	19.9161	26.0821	33.375	
593	19.7821	25.9481	33.241	
594	19.6481	25.8141	33.107	
595	19.5141	25.6801	32.973	
596	19.3801	25.5461	32.839	
597	19.2461	25.4121	32.705	
598	19.1121	25.2781	32.571	
599	18.9781	25.1441	32.437	
600	18.8441	25.0101	32.303	
601	18.7101	24.8761	32.169	
602	18.5761	24.7421	32.035	
603	18.4421	24.6081	31.901	
604	18.3081	24.4741	31.767	
605	18.1741	24.3401	31.633	
606	18.0401	24.2061	31.499	
607	17.9061	24.0721	31.365	
608	17.7721	23.9381	31.231	
609	17.6381	23.8041	31.097	
610	17.5041	23.6701	30.963	
611	17.3701	23.5361	30.829	
612	17.2361	23.4021	30.695	
613	17.1021	23.2681	30.561	
614	16.9681	23.1341	30.427	
615	16.8341	23.0001	30.293	
616	16.7001	22.8661	30.159	
617	16.5661	22.7321	30.025	
618	16.4321	22.5981	29.891	
619	16.2981	22.4641	29.757	
620	16.1641	22.3301	29.623	
621	16.0301	22.1961	29.489	
622	15.8961	22.0621	29.355	
623	15.7621	21.9281	29.221	
624	15.6281	21.7941	29.087	
625	15.4941	21.6601	28.953	
626	15.3601	21.5261	28.819	
627	15.2261	21.3921	28.685	
628	15.0921	21.2581	28.551	
629	14.9581	21.1241	28.417	
630	14.8241	20.9901	28.283	
631	14.6901	20.8561	28.149	
632	14.5561	20.7221	28.015	
633	14.4221	20.5881	27.881	
634	14.2881	20.4541	27.747	
635	14.1541	20.3201	27.613	
636	14.0201	20.1861	27.479	
637	13.8861	20.0521	27.345	
638	13.7521	19.9181	27.211	
639	13.6181	19.7841	27.077	
640	13.4841	19.6501	26.943	
641	13.3501	19.5161	26.809	
642	13.2161	19.3821	26.675	
643	13.0821	19.2481	26.541	
644	12.9481	19.1141	26.407	
645	12.8141	18.9801	26.273	
646	12.6801	18.8461	26.139	
647	12.5461	18.7121	26.005	
648	12.4121	18.5781	25.871	
649	12.2781	18.4441	25.737	
650	12.1441	18.3101	25.603	
651	12.0101	18.1761	25.469	
652	11.8761	18.0421	25.335	
653	11.7421	17.9081	25.201	
654	11.6081	17.7741	25.067	
655	11.4741	17.6401	24.933	
656	11.3401	17.5061	24.799	
657	11.2061	17.3721	24.665	
658	11.0721	17.2381	24.531	
659	10.9381	17.1041	24.397	
660	10.8041	16.9701	24.263	
661	10.6701	16.8361	24.129	
662	10.5361	16.7021	23.995	
663	10.4021	16.5681	23.861	
664	10.2681	16.4341	23.727	
665	10.1341	16.3001	23.593	
666	10.0001	16.1661	23.459	
667	9.86611	16.0321	23.325	
668	9.73211	15.8981	23.191	
669	9.59811	15.7641	23.057	
670	9.46411	15.6301	22.923	
671	9.33011	15.4961	22.789	
672	9.19611	15.3621	22.655	
673	9.06211	15.2281	22.521	
674	8.92811	15.0941	22.387	
675	8.79411	14.9601	22.253	
676	8.66011	14.8261	22.119	
677	8.52611	14.6921	21.985	
678	8.39211	14.5581	21.851	
679	8.25811	14.4241	21.717	
680	8.12411	14.2901	21.583	
681	7.99011	14.1561	21.449	
682	7.85611	14.0221	21.315	
683	7.72211	13.8881	21.181	
684	7.58811	13.7541	21.047	
685	7.45411	13.6201	20.913	
686	7.32011	13.4861	20.779	
687	7.18611	13.3521	20.645	
688	7.05211	13.2181	20.511	
689	6.91811	13.0841	20.377	
690	6.78411	12.9501	20.243	
691	6.65011	12.8161	20.109	
692	6.51611	12.6821	19.975	
693	6.38211	12.5481	19.841	
694	6.24811	12.4141	19.707	
695	6.11411	12.2801	19.573	
696	5.98011	12.1461	19.439	
697	5.84611	12.0121	19.305	
698	5.71211	11.8781	19.171	
699	5.57811	11.7441	19.037	
700	5.44411	11.6101	18.903	
